location_name,cause_name,year,asmr,asmr_low,asmr_upp,deaths,deaths_low,deaths_upp
Brazil,Exposure to forces of nature,1990,0.03,0.03,0.03,35.0,31.8,38.5
Brazil,Extensively drug-resistant tuberculosis,1990,0.00,0.00,0.00,0.0,0.0,0.0
Brazil,Falls,1990,8.58,8.01,8.91,7770.8,7445.5,7996.8
Brazil,"Fire, heat, and hot substances",1990,1.58,1.52,1.64,1945.8,1859.9,2033.4
Brazil,Foreign body in other body part,1990,0.05,0.05,0.05,55.6,52.0,59.9
Brazil,G6PD deficiency,1990,0.00,0.00,0.00,0.8,0.7,1.0
Brazil,Gallbladder and biliary diseases,1990,2.97,2.73,3.11,2299.8,2163.5,2400.0
Brazil,Gallbladder and biliary tract cancer,1990,3.41,3.20,3.55,2801.3,2661.4,2902.9
Brazil,Gastritis and duodenitis,1990,0.48,0.44,0.52,397.3,372.2,427.5
Brazil,Genital prolapse,1990,0.01,0.01,0.02,10.1,8.9,11.4
Brazil,Gonococcal infection,1990,0.01,0.01,0.01,8.5,7.8,9.4
Brazil,HIV/AIDS - Drug-susceptible Tuberculosis,1990,1.97,1.52,2.39,2761.9,2119.2,3357.4
Brazil,HIV/AIDS - Extensively drug-resistant Tuberculosis,1990,0.00,0.00,0.00,0.0,0.0,0.0
Brazil,HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,1990,0.00,0.00,0.01,3.2,0.3,13.6
Brazil,HIV/AIDS resulting in other diseases,1990,3.45,3.03,3.90,4854.9,4260.4,5499.3
Brazil,Hemolytic disease and other neonatal jaundice,1990,0.58,0.50,0.66,893.5,770.5,1019.1
Brazil,Hepatoblastoma,1990,0.03,0.03,0.04,52.1,44.6,61.6
Brazil,Hodgkin lymphoma,1990,0.57,0.55,0.60,648.7,617.8,681.0
Brazil,Hypertensive heart disease,1990,23.22,21.31,24.32,17016.3,15970.7,17663.2
Brazil,Idiopathic epilepsy,1990,1.30,1.26,1.35,1726.6,1662.8,1798.6
Brazil,Indirect maternal deaths,1990,0.25,0.22,0.29,386.8,335.6,442.3
Brazil,"Inguinal, femoral, and abdominal hernia",1990,1.17,1.09,1.23,1005.6,952.0,1053.3
Brazil,Interstitial lung disease and pulmonary sarcoidosis,1990,0.98,0.91,1.05,827.5,781.0,875.4
Brazil,Intracerebral hemorrhage,1990,48.51,46.28,50.08,43822.2,42196.5,45034.1
Brazil,Invasive Non-typhoidal Salmonella (iNTS),1990,0.07,0.05,0.09,88.6,62.9,123.4
Brazil,Ischemic heart disease,1990,136.60,126.88,141.73,105296.9,99726.7,108444.6
Brazil,Ischemic stroke,1990,81.00,73.42,84.87,54230.1,50075.4,56376.5
Brazil,Kidney cancer,1990,1.43,1.36,1.50,1343.1,1282.9,1400.6
Brazil,Larynx cancer,1990,2.84,2.71,2.96,2570.5,2460.2,2675.5
Brazil,Late maternal deaths,1990,0.24,0.16,0.34,355.3,243.1,515.5
Brazil,Lip and oral cavity cancer,1990,2.58,2.43,2.71,2281.3,2164.9,2396.0
Brazil,Liver cancer due to NASH,1990,0.13,0.11,0.15,111.5,96.2,128.3
Brazil,Liver cancer due to alcohol use,1990,0.50,0.44,0.57,444.5,388.2,503.6
Brazil,Liver cancer due to hepatitis B,1990,0.35,0.30,0.41,351.2,306.3,402.0
Brazil,Liver cancer due to hepatitis C,1990,0.66,0.58,0.73,524.9,462.7,585.3
Brazil,Liver cancer due to other causes,1990,0.09,0.08,0.10,84.4,73.9,96.4
Brazil,Lower extremity peripheral arterial disease,1990,1.52,1.37,1.61,1014.8,932.8,1071.5
Brazil,Lower respiratory infections,1990,54.20,50.74,56.92,54142.9,50791.8,57464.9
Brazil,Malaria,1990,2.58,0.88,5.41,3850.1,1348.5,7921.0
Brazil,Malignant neoplasm of bone and articular cartilage,1990,1.25,1.19,1.31,1321.7,1254.1,1377.7
Brazil,Malignant skin melanoma,1990,0.92,0.88,0.96,864.2,830.8,895.2
Brazil,Maternal abortion and miscarriage,1990,0.25,0.19,0.30,383.2,302.6,471.2
Brazil,Maternal deaths aggravated by HIV/AIDS,1990,0.00,0.00,0.00,1.9,0.9,3.3
Brazil,Maternal hemorrhage,1990,0.63,0.54,0.74,951.3,805.7,1102.0
Brazil,Maternal hypertensive disorders,1990,0.77,0.68,0.86,1197.8,1061.5,1343.1
Brazil,Maternal obstructed labor and uterine rupture,1990,0.08,0.06,0.10,113.0,90.0,141.0
Brazil,Maternal sepsis and other maternal infections,1990,0.23,0.19,0.26,360.4,307.2,421.6
Brazil,Measles,1990,0.18,0.14,0.21,285.2,224.2,342.8
Brazil,Meningitis,1990,4.81,4.43,5.16,7191.9,6596.1,7760.6
Brazil,Mesothelioma,1990,0.38,0.35,0.40,337.6,318.3,355.5
Brazil,Motor neuron disease,1990,0.31,0.30,0.32,313.3,303.0,324.4
Brazil,Motor vehicle road injuries,1990,4.53,4.39,4.68,6238.7,6032.5,6436.4
Brazil,Motorcyclist road injuries,1990,3.50,3.32,3.62,5116.8,4871.4,5283.9
Brazil,Multidrug-resistant tuberculosis without extensive drug resistance,1990,0.01,0.00,0.04,8.4,0.7,39.4
Brazil,Multiple myeloma,1990,1.23,1.17,1.28,1079.7,1031.8,1117.6
Brazil,Multiple sclerosis,1990,0.11,0.10,0.12,102.6,97.6,107.4
Brazil,"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",1990,0.32,0.28,0.37,267.6,240.1,307.5
Brazil,Myocarditis,1990,0.20,0.18,0.21,208.5,195.1,227.4
Brazil,Nasopharynx cancer,1990,0.19,0.18,0.21,199.9,185.3,215.4
Brazil,Neonatal encephalopathy due to birth asphyxia and trauma,1990,7.54,6.78,8.34,11674.4,10496.0,12926.1
Brazil,Neonatal preterm birth,1990,23.33,20.81,25.82,36122.7,32228.2,39978.0
Brazil,Neonatal sepsis and other neonatal infections,1990,6.40,5.68,7.20,9908.0,8796.0,11144.3
Brazil,Neural tube defects,1990,0.92,0.78,1.09,1434.1,1216.5,1690.1
Brazil,Neuroblastoma and other peripheral nervous cell tumors,1990,0.08,0.07,0.09,124.7,110.8,139.2
Brazil,Non-melanoma skin cancer (squamous-cell carcinoma),1990,0.96,0.89,1.01,734.8,694.6,764.1
Brazil,Non-rheumatic calcific aortic valve disease,1990,1.89,1.77,1.96,1561.3,1490.7,1609.4
Brazil,Non-rheumatic degenerative mitral valve disease,1990,0.84,0.79,0.87,775.4,745.6,797.7
Brazil,Non-venomous animal contact,1990,0.07,0.06,0.07,74.1,69.8,78.2
Brazil,Nonalcoholic fatty liver disease including cirrhosis,1990,1.06,0.77,1.43,999.0,717.8,1352.3
Brazil,Opioid use disorders,1990,0.01,0.01,0.01,11.3,10.5,12.1
Brazil,Orofacial clefts,1990,0.10,0.07,0.13,158.1,110.9,195.0
Brazil,Other COVID-19 pandemic-related outcomes,1990,0.00,0.00,0.00,0.0,0.0,0.0
Brazil,Other benign and in situ neoplasms,1990,0.00,0.00,0.00,0.6,0.5,0.7
Brazil,Other cardiomyopathy,1990,14.25,13.27,14.94,11516.4,10893.1,11988.5
Brazil,Other cardiovascular and circulatory diseases,1990,4.33,4.01,4.52,3542.7,3358.0,3667.3
Brazil,Other chromosomal abnormalities,1990,0.16,0.11,0.21,251.5,167.8,331.4
Brazil,Other chronic respiratory diseases,1990,0.74,0.68,0.82,891.1,810.5,982.1
Brazil,Other congenital birth defects,1990,1.81,1.44,2.44,2836.6,2254.8,3821.5
Brazil,Other digestive diseases,1990,2.12,1.95,2.23,1686.7,1595.1,1762.7
Brazil,Other direct maternal disorders,1990,0.40,0.34,0.46,608.4,517.8,705.4
Brazil,Other drug use disorders,1990,0.01,0.01,0.02,19.5,18.1,21.4
Brazil,"Other endocrine, metabolic, blood, and immune disorders",1990,1.78,1.67,1.89,1772.2,1663.0,1904.5
Brazil,Other exposure to mechanical forces,1990,0.70,0.67,0.73,968.9,916.1,1014.3
Brazil,Other eye cancers,1990,0.11,0.10,0.12,94.9,86.0,103.5
Brazil,Other gynecological diseases,1990,0.06,0.06,0.06,69.6,65.3,74.2
Brazil,Other hemoglobinopathies and hemolytic anemias,1990,0.96,0.91,0.99,1063.7,1020.3,1107.9
Brazil,Other intestinal infectious diseases,1990,0.02,0.01,0.04,34.8,17.2,57.9
Brazil,Other leukemia,1990,0.47,0.43,0.50,419.2,385.1,446.5
Brazil,Other malignant neoplasms,1990,3.56,3.36,3.73,3324.0,3162.2,3468.4
Brazil,Other musculoskeletal disorders,1990,1.00,0.96,1.05,1120.1,1082.0,1162.1
Brazil,Other neglected tropical diseases,1990,0.36,0.32,0.41,479.7,425.3,570.4
Brazil,Other neonatal disorders,1990,2.64,2.27,3.03,4091.2,3518.3,4686.4
Brazil,Other neurological disorders,1990,0.88,0.84,0.91,954.0,922.6,987.7
Brazil,Other non-Hodgkin lymphoma,1990,2.88,2.75,2.98,2847.5,2742.2,2938.4
Brazil,Other non-rheumatic valve diseases,1990,0.02,0.02,0.02,15.1,13.9,16.6
Brazil,Other nutritional deficiencies,1990,0.68,0.63,0.73,715.8,659.0,793.8
Brazil,Other pharynx cancer,1990,1.72,1.63,1.81,1592.2,1507.2,1675.8
Brazil,Other pneumoconiosis,1990,0.03,0.02,0.04,23.2,19.6,27.5
Brazil,Other road injuries,1990,0.52,0.49,0.55,694.2,653.7,737.8
Brazil,Other sexually transmitted infections,1990,0.06,0.06,0.07,65.5,60.9,71.6
Brazil,Other skin and subcutaneous diseases,1990,0.12,0.11,0.13,123.0,115.6,130.5
Brazil,Other transport injuries,1990,1.59,1.54,1.64,2170.8,2097.7,2246.0
Brazil,Other unintentional injuries (internal),1990,2.65,2.56,2.73,3486.4,3347.8,3602.1
Brazil,Other unspecified infectious diseases,1990,1.16,1.12,1.20,1407.8,1353.1,1461.5
Brazil,Other urinary diseases,1990,0.32,0.29,0.34,251.4,234.0,270.6
Brazil,Otitis media,1990,0.10,0.08,0.12,143.1,113.7,163.5
Brazil,Ovarian cancer,1990,2.00,1.88,2.08,1853.2,1766.5,1920.1
Brazil,Pancreatic cancer,1990,5.22,4.92,5.42,4365.0,4155.1,4512.7
Brazil,Pancreatitis,1990,2.33,2.22,2.42,2375.0,2283.6,2470.9
Brazil,Paralytic ileus and intestinal obstruction,1990,3.59,3.34,3.75,3078.0,2916.9,3209.6
Brazil,Paratyphoid fever,1990,0.00,0.00,0.01,3.8,2.0,7.3
Brazil,Parkinson's disease,1990,4.28,3.87,4.48,2775.5,2558.0,2888.0
Brazil,Pedestrian road injuries,1990,20.74,20.16,21.26,26467.1,25707.7,27201.4
Brazil,Peptic ulcer disease,1990,4.41,4.13,4.59,3654.3,3478.0,3780.7
Brazil,Pertussis,1990,0.06,0.04,0.07,90.6,70.1,115.5
Brazil,Physical violence by firearm,1990,14.52,14.22,14.81,21999.4,21547.6,22429.9
Brazil,Physical violence by other means,1990,8.63,8.43,8.84,12516.3,12211.7,12849.4
Brazil,Physical violence by sharp object,1990,4.50,4.38,4.66,6462.4,6277.2,6684.3
Brazil,Poisoning by carbon monoxide,1990,0.06,0.06,0.06,77.9,74.9,81.6
Brazil,Poisoning by other means,1990,0.14,0.14,0.15,191.6,180.9,202.3
Brazil,Police conflict and executions,1990,0.24,0.16,0.36,395.5,263.6,604.1
Brazil,Prostate cancer,1990,9.41,8.77,9.89,6763.4,6355.8,7088.8
Brazil,Protein-energy malnutrition,1990,10.57,9.84,11.27,11897.8,11004.8,12850.5
Brazil,Pulmonary Arterial Hypertension,1990,0.38,0.36,0.40,391.7,369.9,410.4
Brazil,Pulmonary aspiration and foreign body in airway,1990,1.61,1.51,1.71,2157.7,1995.4,2312.6
Brazil,Pyoderma,1990,0.70,0.65,0.75,591.9,553.0,627.7
Brazil,Rabies,1990,0.05,0.04,0.07,77.1,53.8,103.9
Brazil,Retinoblastoma,1990,0.04,0.03,0.05,61.0,47.9,77.9
Brazil,Rheumatic heart disease,1990,2.59,2.47,2.70,2795.5,2677.5,2907.3
Brazil,Rheumatoid arthritis,1990,0.27,0.25,0.29,232.8,219.7,245.5
Brazil,Schistosomiasis,1990,0.78,0.72,0.85,758.0,698.5,820.3
Brazil,Self-harm by firearm,1990,1.51,1.46,1.55,2004.1,1946.5,2064.9
Brazil,Self-harm by other specified means,1990,4.96,4.80,5.11,6270.4,6062.5,6470.5
Brazil,Sickle cell disorders,1990,0.17,0.16,0.19,266.4,246.0,293.9
Brazil,Silicosis,1990,0.11,0.10,0.12,102.7,95.9,109.5
Brazil,Soft tissue and other extraosseous sarcomas,1990,0.61,0.57,0.65,652.3,611.9,692.2
Brazil,Stomach cancer,1990,19.79,18.66,20.63,16579.1,15824.0,17210.6
Brazil,Subarachnoid hemorrhage,1990,7.47,7.20,7.77,7926.3,7676.5,8208.9
Brazil,Sudden infant death syndrome,1990,0.12,0.10,0.14,187.5,150.9,220.3
Brazil,Syphilis,1990,0.22,0.18,0.27,319.7,261.8,390.7
Brazil,Testicular cancer,1990,0.17,0.16,0.18,218.6,205.2,232.5
Brazil,Tetanus,1990,0.82,0.70,0.98,994.5,854.2,1177.2
Brazil,Thalassemias,1990,0.01,0.01,0.01,14.3,12.4,15.8
Brazil,Thyroid cancer,1990,0.58,0.54,0.61,493.2,464.8,519.7
Brazil,Thyroid diseases,1990,0.32,0.30,0.34,309.8,291.3,324.2
Brazil,"Tracheal, bronchus, and lung cancer",1990,16.66,15.92,17.29,14571.5,13999.8,15081.2
Brazil,Typhoid fever,1990,0.04,0.03,0.07,51.9,32.3,85.0
Brazil,Ulcerative colitis,1990,0.43,0.40,0.45,375.9,358.6,390.8
Brazil,Unintentional firearm injuries,1990,0.70,0.67,0.73,1044.6,991.0,1094.9
Brazil,Upper respiratory infections,1990,0.15,0.14,0.16,201.4,182.5,222.1
Brazil,Urinary tract infections and interstitial nephritis,1990,3.97,3.64,4.17,3036.5,2859.8,3162.3
Brazil,Urogenital congenital anomalies,1990,0.20,0.14,0.35,307.2,214.0,538.3
Brazil,Urolithiasis,1990,0.10,0.09,0.11,89.6,83.5,97.2
Brazil,Uterine cancer,1990,1.54,1.44,1.63,1288.1,1215.1,1359.9
Brazil,Uterine fibroids,1990,0.02,0.02,0.02,22.9,19.8,26.6
Brazil,Varicella and herpes zoster,1990,0.16,0.14,0.18,224.9,195.0,263.0
Brazil,Vascular intestinal disorders,1990,3.16,2.92,3.32,2429.8,2279.5,2535.2
Brazil,Venomous animal contact,1990,0.32,0.31,0.34,386.0,365.4,405.4
Brazil,Visceral leishmaniasis,1990,0.68,0.00,2.51,1068.5,0.3,4127.9
Brazil,Yellow fever,1990,0.01,0.00,0.03,19.6,7.3,44.9
Brazil,Zika virus,1990,0.00,0.00,0.00,0.0,0.0,0.0
Afghanistan,Acute glomerulonephritis,1990,0.15,0.09,0.23,12.1,7.5,16.8
Afghanistan,Acute hepatitis A,1990,12.24,4.28,23.59,1144.8,450.3,2004.2
Afghanistan,Acute hepatitis B,1990,18.36,6.91,29.88,1386.4,495.3,2233.4
Afghanistan,Acute hepatitis C,1990,1.32,0.10,4.55,102.0,7.7,336.1
Afghanistan,Acute hepatitis E,1990,0.45,0.12,1.30,38.1,10.2,99.8
Afghanistan,Acute lymphoid leukemia,1990,3.38,1.29,7.85,329.1,129.1,730.8
Afghanistan,Acute myeloid leukemia,1990,3.72,1.57,7.11,281.9,117.6,568.7
Afghanistan,Adverse effects of medical treatment,1990,9.13,5.47,13.85,810.7,506.6,1182.2
Afghanistan,African trypanosomiasis,1990,0.00,0.00,0.00,0.0,0.0,0.0
Afghanistan,Alcohol use disorders,1990,0.39,0.14,0.59,27.7,10.1,41.9
Afghanistan,Alcoholic cardiomyopathy,1990,0.13,0.03,0.30,9.2,1.8,20.4
Afghanistan,Alzheimer's disease and other dementias,1990,35.31,8.59,97.75,1263.9,307.3,3463.8
Afghanistan,Amphetamine use disorders,1990,0.06,0.02,0.14,4.6,1.6,10.6
Afghanistan,Anorexia nervosa,1990,0.00,0.00,0.00,0.0,0.0,0.0
Afghanistan,Aortic aneurysm,1990,0.09,0.05,0.15,5.9,3.2,9.7
Afghanistan,Appendicitis,1990,1.75,0.75,3.17,123.1,52.4,212.5
Afghanistan,Asbestosis,1990,0.01,0.00,0.02,0.4,0.1,1.2
Afghanistan,Ascariasis,1990,0.11,0.01,0.17,17.1,0.9,26.4
Afghanistan,Asthma,1990,44.82,31.06,63.25,2756.5,1961.5,3763.5
Afghanistan,Atrial fibrillation and flutter,1990,2.75,1.44,4.71,112.8,59.3,194.0
Afghanistan,Bladder cancer,1990,4.16,2.66,5.93,250.8,150.4,369.3
Afghanistan,Brain and central nervous system cancer,1990,3.83,2.14,9.34,295.2,162.6,768.8
Afghanistan,Breast cancer,1990,4.72,2.59,7.68,336.7,177.1,561.6
Afghanistan,Burkitt lymphoma,1990,0.06,0.02,0.21,7.0,2.1,22.5
Afghanistan,COVID-19,1990,0.00,0.00,0.00,0.0,0.0,0.0
Afghanistan,Cellulitis,1990,0.07,0.01,0.17,4.8,0.5,10.9
Afghanistan,Cervical cancer,1990,5.90,3.18,9.67,428.0,222.2,694.7
Afghanistan,Chagas disease,1990,0.00,0.00,0.00,0.0,0.0,0.0
Afghanistan,Chlamydial infection,1990,0.00,0.00,0.02,0.3,0.1,1.4
Afghanistan,Chronic hepatitis B including cirrhosis,1990,20.18,12.06,31.27,1303.3,765.1,1984.0
Afghanistan,Chronic hepatitis C including cirrhosis,1990,24.33,14.91,36.93,1552.3,968.0,2294.3
Afghanistan,Chronic kidney disease due to diabetes mellitus type 1,1990,1.03,0.62,1.71,76.9,44.7,128.1
Afghanistan,Chronic kidney disease due to diabetes mellitus type 2,1990,9.37,6.14,15.06,594.9,383.6,962.3
Afghanistan,Chronic kidney disease due to glomerulonephritis,1990,4.06,2.66,6.54,287.6,189.7,449.6
Afghanistan,Chronic kidney disease due to hypertension,1990,15.47,10.58,26.13,895.7,602.8,1478.8
Afghanistan,Chronic kidney disease due to other and unspecified causes,1990,17.37,12.18,27.30,1153.4,817.1,1716.3
Afghanistan,Chronic lymphoid leukemia,1990,1.17,0.21,1.97,66.2,12.5,115.9
Afghanistan,Chronic myeloid leukemia,1990,1.45,0.43,2.95,113.4,31.8,232.9
Afghanistan,Chronic obstructive pulmonary disease,1990,62.26,37.81,82.75,3579.4,2210.1,4808.0
Afghanistan,Cirrhosis due to alcohol,1990,2.32,1.24,3.96,155.9,80.4,272.7
Afghanistan,Cirrhosis due to other causes,1990,10.70,6.67,16.69,796.1,522.7,1127.5
Afghanistan,Coal workers pneumoconiosis,1990,0.00,0.00,0.01,0.2,0.0,0.6
Afghanistan,Cocaine use disorders,1990,0.37,0.18,0.72,25.7,12.1,50.0
Afghanistan,Colon and rectum cancer,1990,11.85,4.87,18.26,797.9,301.4,1242.4
Afghanistan,Conflict and terrorism,1990,14.22,11.17,17.90,1490.0,1170.3,1875.6
Afghanistan,Congenital heart anomalies,1990,33.93,8.23,56.97,6454.1,1562.4,10686.1
Afghanistan,Congenital musculoskeletal and limb anomalies,1990,1.57,0.28,3.21,273.3,48.9,562.4
Afghanistan,Crohn's disease,1990,0.05,0.00,0.20,3.5,0.3,14.6
Afghanistan,Cyclist road injuries,1990,0.03,0.01,0.06,2.8,1.0,5.5
Afghanistan,Cystic echinococcosis,1990,0.45,0.32,0.63,40.5,28.0,55.5
Afghanistan,Cysticercosis,1990,0.02,0.01,0.03,1.2,0.6,2.0
Afghanistan,Decubitus ulcer,1990,1.08,0.62,1.89,57.6,34.9,93.8
Afghanistan,Dengue,1990,0.00,0.00,0.00,0.1,0.0,0.1
Afghanistan,Diabetes mellitus type 1,1990,1.28,0.76,2.16,117.1,68.3,194.8
Afghanistan,Diabetes mellitus type 2,1990,24.42,18.44,32.76,1613.1,1198.7,2184.7
Afghanistan,Diarrheal diseases,1990,41.88,26.44,58.65,7562.3,4672.3,10777.4
Afghanistan,Digestive congenital anomalies,1990,2.62,0.49,6.61,521.6,100.0,1307.3
Afghanistan,Diphtheria,1990,4.92,2.62,8.59,709.8,355.6,1293.0
Afghanistan,Down syndrome,1990,1.85,0.25,6.80,331.0,44.8,1252.1
Afghanistan,Drowning,1990,9.69,6.99,12.62,1256.2,882.6,1696.4
Afghanistan,Drug-susceptible tuberculosis,1990,141.35,97.94,256.32,10801.3,7874.0,18022.8
Afghanistan,Ebola,1990,0.00,0.00,0.00,0.0,0.0,0.0
Afghanistan,Ectopic pregnancy,1990,0.11,0.07,0.16,7.6,4.7,11.4
Afghanistan,Electrocution,1990,1.88,0.77,4.55,182.1,70.4,458.7
Afghanistan,Encephalitis,1990,0.55,0.28,0.95,57.4,29.6,103.1
Afghanistan,Endocarditis,1990,0.91,0.57,1.50,67.8,45.2,102.1
Afghanistan,Endometriosis,1990,0.00,0.00,0.00,0.0,0.0,0.1
Afghanistan,Environmental heat and cold exposure,1990,2.24,1.99,2.61,158.7,141.2,184.6
Afghanistan,Esophageal cancer,1990,9.92,4.97,14.13,685.1,334.8,994.1
Afghanistan,Exposure to forces of nature,1990,0.00,0.00,0.00,0.0,0.0,0.0
Afghanistan,Extensively drug-resistant tuberculosis,1990,0.00,0.00,0.00,0.0,0.0,0.0
Afghanistan,Falls,1990,18.30,13.68,24.90,1212.7,847.3,1666.4
Afghanistan,"Fire, heat, and hot substances",1990,3.67,2.70,4.87,327.3,241.4,436.2
Afghanistan,Foreign body in other body part,1990,0.00,0.00,0.01,0.2,0.0,1.1
Afghanistan,G6PD deficiency,1990,0.10,0.06,0.17,10.3,5.9,16.6
Afghanistan,Gallbladder and biliary diseases,1990,2.52,1.33,4.27,133.2,65.9,249.0
